"x","F(x)","F'(x)"
0.000000,0.000000,0.999342
0.062832,0.062791,0.995398
0.125664,0.125333,0.987526
0.188496,0.187381,0.975756
0.251327,0.248690,0.960136
0.314159,0.309017,0.940726
0.376991,0.368125,0.917604
0.439823,0.425779,0.890860
0.502655,0.481754,0.860600
0.565487,0.535827,0.826945
0.628319,0.587785,0.790025
0.691150,0.637424,0.749988
0.753982,0.684547,0.706990
0.816814,0.728969,0.661203
0.879646,0.770513,0.612806
0.942478,0.809017,0.561991
1.005310,0.844328,0.508958
1.068141,0.876307,0.453916
1.130973,0.904827,0.397083
1.193805,0.929776,0.338682
1.256637,0.951057,0.278945
1.319469,0.968583,0.218107
1.382301,0.982287,0.156409
1.445133,0.992115,0.094093
1.507964,0.998027,0.031406
1.570796,1.000000,-0.031406
1.633628,0.998027,-0.094093
1.696460,0.992115,-0.156409
1.759292,0.982287,-0.218107
1.822124,0.968583,-0.278945
1.884956,0.951057,-0.338682
1.947787,0.929776,-0.397083
2.010619,0.904827,-0.453916
2.073451,0.876307,-0.508958
2.136283,0.844328,-0.561991
2.199115,0.809017,-0.612806
2.261947,0.770513,-0.661203
2.324779,0.728969,-0.706990
2.387610,0.684547,-0.749988
2.450442,0.637424,-0.790025
2.513274,0.587785,-0.826945
2.576106,0.535827,-0.860600
2.638938,0.481754,-0.890860
2.701770,0.425779,-0.917604
2.764601,0.368125,-0.940726
2.827433,0.309017,-0.960136
2.890265,0.248690,-0.975756
2.953097,0.187381,-0.987526
3.015929,0.125333,-0.995398
3.078761,0.062791,-0.999342
3.141593,0.000000,-0.999342
3.204424,-0.062790,-0.995398
3.267256,-0.125333,-0.987526
3.330088,-0.187381,-0.975756
3.392920,-0.248690,-0.960136
3.455752,-0.309017,-0.940726
3.518584,-0.368124,-0.917604
3.581416,-0.425779,-0.890860
3.644247,-0.481754,-0.860600
3.707079,-0.535827,-0.826945
3.769911,-0.587785,-0.790025
3.832743,-0.637424,-0.749988
3.895575,-0.684547,-0.706991
3.958407,-0.728969,-0.661203
4.021239,-0.770513,-0.612806
4.084070,-0.809017,-0.561991
4.146902,-0.844328,-0.508958
4.209734,-0.876307,-0.453916
4.272566,-0.904827,-0.397083
4.335398,-0.929776,-0.338682
4.398230,-0.951056,-0.278945
4.461061,-0.968583,-0.218107
4.523893,-0.982287,-0.156409
4.586725,-0.992115,-0.094093
4.649557,-0.998027,-0.031406
4.712389,-1.000000,0.031406
4.775221,-0.998027,0.094093
4.838053,-0.992115,0.156409
4.900884,-0.982287,0.218107
4.963716,-0.968583,0.278945
5.026548,-0.951057,0.338682
5.089380,-0.929777,0.397082
5.152212,-0.904827,0.453916
5.215044,-0.876307,0.508958
5.277876,-0.844328,0.561991
5.340707,-0.809017,0.612806
5.403539,-0.770513,0.661203
5.466371,-0.728969,0.706990
5.529203,-0.684547,0.749988
5.592035,-0.637424,0.790025
5.654867,-0.587785,0.826944
5.717699,-0.535827,0.860600
5.780530,-0.481754,0.890860
5.843362,-0.425779,0.917604
5.906194,-0.368125,0.940726
5.969026,-0.309017,0.960136
6.031858,-0.248690,0.975756
6.094690,-0.187381,0.987526
6.157521,-0.125333,0.995398
6.220353,-0.062791,0.999342
6.283185,-0.000000,0.999342
