"X","X","X+Sin(X)"
0,0,0
0.062832,0.062832,0.125622
0.125664,0.125664,0.250997
0.188496,0.188496,0.375877
0.251327,0.251327,0.500017
0.314159,0.314159,0.623176
0.376991,0.376991,0.745116
0.439823,0.439823,0.865602
0.502655,0.502655,0.984408
0.565487,0.565487,1.101313
0.628319,0.628319,1.216104
0.69115,0.69115,1.328574
0.753982,0.753982,1.438529
0.816814,0.816814,1.545783
0.879646,0.879646,1.650159
0.942478,0.942478,1.751495
1.00531,1.00531,1.849638
1.068141,1.068141,1.944448
1.130973,1.130973,2.0358
1.193805,1.193805,2.123582
1.256637,1.256637,2.207694
1.319469,1.319469,2.288052
1.382301,1.382301,2.364588
1.445133,1.445133,2.437247
1.507964,1.507964,2.505991
1.570796,1.570796,2.570796
1.633628,1.633628,2.631655
1.69646,1.69646,2.688575
1.759292,1.759292,2.741579
1.822124,1.822124,2.790707
1.884956,1.884956,2.836012
1.947787,1.947787,2.877564
2.010619,2.010619,2.915446
2.073451,2.073451,2.949758
2.136283,2.136283,2.980611
2.199115,2.199115,3.008132
2.261947,2.261947,3.03246
2.324779,2.324779,3.053747
2.38761,2.38761,3.072158
2.450442,2.450442,3.087866
2.513274,2.513274,3.101059
2.576106,2.576106,3.111933
2.638938,2.638938,3.120691
2.70177,2.70177,3.127549
2.764601,2.764601,3.132726
2.827433,2.827433,3.13645
2.890265,2.890265,3.138955
2.953097,2.953097,3.140478
3.015929,3.015929,3.141262
3.078761,3.078761,3.141551
3.141593,3.141593,3.141593
3.204424,3.204424,3.141634
3.267256,3.267256,3.141923
3.330088,3.330088,3.142707
3.39292,3.39292,3.14423
3.455752,3.455752,3.146735
3.518584,3.518584,3.150459
3.581416,3.581416,3.155636
3.644247,3.644247,3.162494
3.707079,3.707079,3.171253
3.769911,3.769911,3.182126
3.832743,3.832743,3.195319
3.895575,3.895575,3.211028
3.958407,3.958407,3.229438
4.021239,4.021239,3.250725
4.08407,4.08407,3.275053
4.146902,4.146902,3.302574
4.209734,4.209734,3.333427
4.272566,4.272566,3.367739
4.335398,4.335398,3.405621
4.39823,4.39823,3.447173
4.461061,4.461061,3.492478
4.523893,4.523893,3.541606
4.586725,4.586725,3.594611
4.649557,4.649557,3.65153
4.712389,4.712389,3.712389
4.775221,4.775221,3.777194
4.838053,4.838053,3.845938
4.900884,4.900884,3.918597
4.963716,4.963716,3.995133
5.026548,5.026548,4.075492
5.08938,5.08938,4.159603
5.152212,5.152212,4.247385
5.215044,5.215044,4.338737
5.277876,5.277876,4.433548
5.340707,5.340707,4.53169
5.403539,5.403539,4.633026
5.466371,5.466371,4.737402
5.529203,5.529203,4.844656
5.592035,5.592035,4.954611
5.654867,5.654867,5.067081
5.717699,5.717699,5.181872
5.78053,5.78053,5.298777
5.843362,5.843362,5.417583
5.906194,5.906194,5.538069
5.969026,5.969026,5.660009
6.031858,6.031858,5.783168
6.09469,6.09469,5.907308
6.157521,6.157521,6.032188
6.220353,6.220353,6.157563
6.283185,6.283185,6.283185
